0,410.241577,0.97,64.98
6,135.847900,0.97,0.98,65.41899633407593
7,140.601608,0.98,0.98,65.7185411453247
8,136.493637,0.98,0.98,65.03901982307434
9,139.874939,0.98,0.98,66.07218623161316
10,139.350479,0.98,0.98,65.00252032279968
0,134.275513,0.97,0.98,78.14198184013367
1,138.644821,0.97,0.98,75.97186994552612
2,134.499741,0.97,0.98,76.15874648094177
3,139.875900,0.98,0.98,75.1988377571106
4,133.320236,0.97,0.98,76.59815216064453
5,138.566254,0.98,0.98,75.43433952331543
0,143.571472,0.98,0.98,79.04880261421204
1,141.213226,0.98,0.98,73.61392784118652
2,139.635071,0.98,0.98,74.60580849647522
3,141.069397,0.93,0.93,75.92979288101196
4,138.837631,0.96,0.96,76.64733600616455
5,138.854019,0.98,0.98,75.40909719467163
4,142.591110,0.97,0.97,77.94321084022522
5,137.514908,0.98,0.97,74.53173995018005
6,137.509109,0.95,0.95,73.9914493560791
7,136.528137,0.96,0.95,73.59811210632324
8,131.685379,0.95,0.95,73.76928663253784
